folder_name,Testcase_Id,title,Preconditions,Test Steps,Expected Results,Priority,type,test scope,run_type,Memo,REQ_Id
PV > ICSR Config > Case ID > 기본 구조 > 조직 식별자 입력,TC-CASEID-001-001,조직 식별자 최솟값(1자) 입력 시 Case ID 반영 검증,"1. Org Admin 계정으로 로그인됨
2. Admin > ICSR Config > Case ID Configuration 화면 접근 완료","1. 조직 식별자 필드에 영문 1자(예: A) 입력
2. 저장 버튼 클릭
3. 케이스 생성 후 Case ID 확인","1. 저장 성공 메시지가 표시됨
2. 조직 식별자 'A'가 DB에 저장됨
3. 신규 생성 케이스의 Case ID에 'A'가 조직 식별자로 반영됨",High,Boundary,Regression,Automation,,REQ-011
PV > ICSR Config > Case ID > 기본 구조 > 조직 식별자 입력,TC-CASEID-001-002,조직 식별자 최댓값(10자) 입력 시 Case ID 반영 검증,"1. Org Admin 계정으로 로그인됨
2. Admin > ICSR Config > Case ID Configuration 화면 접근 완료","1. 조직 식별자 필드에 영숫자 혼합 10자(예: SELTA00001) 입력
2. 저장 버튼 클릭
3. 케이스 생성 후 Case ID 확인","1. 저장 성공 메시지가 표시됨
2. 10자 조직 식별자가 DB에 저장됨
3. 신규 케이스 Case ID에 해당 10자 조직 식별자가 반영됨",High,Boundary,Regression,Automation,,REQ-011
PV > ICSR Config > Case ID > 기본 구조 > 조직 식별자 입력,TC-CASEID-001-003,조직 식별자 대소문자 구분 정확성 검증,"1. Org Admin 계정으로 로그인됨
2. Admin > ICSR Config > Case ID Configuration 화면 접근 완료","1. 조직 식별자 필드에 대소문자 혼합값(예: SeltA) 입력
2. 저장 버튼 클릭
3. 케이스 생성 후 Case ID 내 조직 식별자 확인","1. 저장 성공 메시지가 표시됨
2. 입력한 대소문자(SeltA) 그대로 DB에 저장됨
3. Case ID에 SeltA가 대소문자 구분 유지로 반영됨",High,Functional,Regression,Automation,,"REQ-003, REQ-011"
PV > ICSR Config > Case ID > 기본 구조 > 조직 식별자 입력,TC-CASEID-002-001,조직 식별자 빈값(0자) 저장 시 오류 검증,"1. Org Admin 계정으로 로그인됨
2. Admin > ICSR Config > Case ID Configuration 화면 접근 완료","1. 조직 식별자 필드를 빈값 상태로 유지
2. 저장 버튼 클릭","1. 저장 오류 메시지 또는 필드 유효성 오류가 표시됨
2. 저장되지 않음 (DB 변경 없음)
3. 기존 조직 식별자 값이 유지됨",Medium,Boundary,Regression,Automation,,REQ-011
PV > ICSR Config > Case ID > 기본 구조 > 조직 식별자 입력,TC-CASEID-002-002,조직 식별자 11자 초과 입력 시 차단 검증,"1. Org Admin 계정으로 로그인됨
2. Admin > ICSR Config > Case ID Configuration 화면 접근 완료","1. 조직 식별자 필드에 11자 값(예: SELTA000011) 입력 시도
2. 저장 버튼 클릭","1. 11자 입력이 차단되거나 오류 메시지가 표시됨
2. 저장되지 않음
3. 기존 조직 식별자 값이 유지됨",Medium,Boundary,Regression,Automation,,REQ-011
PV > ICSR Config > Case ID > 기본 구조 > 조직 식별자 입력,TC-CASEID-003-001,조직 식별자 특수문자 입력 시 차단 검증,"1. Org Admin 계정으로 로그인됨
2. Admin > ICSR Config > Case ID Configuration 화면 접근 완료","1. 조직 식별자 필드에 특수문자 포함 값(예: SELT@!) 입력 시도
2. 저장 버튼 클릭","1. 특수문자 입력이 차단되거나 오류 메시지가 표시됨
2. 저장되지 않음
3. 기존 식별자 값이 유지됨",Medium,Negative,Regression,Automation,,"REQ-003, REQ-011"
PV > ICSR Config > Case ID > 기본 구조 > 조직 식별자 입력,TC-CASEID-003-002,조직 식별자 한글 입력 시 차단 검증,"1. Org Admin 계정으로 로그인됨
2. Admin > ICSR Config > Case ID Configuration 화면 접근 완료","1. 조직 식별자 필드에 한글(예: 셀타) 입력 시도
2. 저장 버튼 클릭","1. 한글 입력이 차단되거나 오류 메시지가 표시됨
2. 저장되지 않음
3. 기존 식별자 값이 유지됨",Medium,Negative,Regression,Automation,,"REQ-003, REQ-011"
PV > ICSR Config > Case ID > 기본 구조 > 국가코드 결정 로직,TC-CASEID-004-001,국가코드 1순위 Reporter Primary Country Code 적용 검증,"1. Org Admin 계정으로 로그인됨
2. Case ID Configuration 저장 완료
3. Reporter Primary Country Code가 'US'로 설정된 케이스 생성 준비","1. Reporter Primary Country Code = 'US'인 케이스 생성
2. 생성된 케이스 Case ID 확인
3. C.1.1 국가코드 부분 확인","1. Case ID에 'US'가 국가코드로 표시됨
2. Reporter Primary Country Code 'US'가 최우선 적용됨
3. 하위 우선순위 조건이 무시됨",Critical,Functional,"Regression,Smoke",Automation,[데이터] 국가코드 1순위 우선순위 — 기획서 §기본 구조 및 국가코드 로직 명시,REQ-006
PV > ICSR Config > Case ID > 기본 구조 > 국가코드 결정 로직,TC-CASEID-004-002,국가코드 2순위 Reporter First Country Code 적용 검증,"1. Org Admin 계정으로 로그인됨
2. Reporter Primary Country Code 없고 First Country Code = 'JP'인 케이스 생성 준비","1. Reporter Primary 없고 First = 'JP' 케이스 생성
2. 생성된 Case ID 국가코드 확인","1. Case ID에 'JP'가 국가코드로 표시됨
2. Reporter First Country Code 'JP'가 2순위로 적용됨
3. Primary 없을 때 First가 사용됨",Critical,Functional,Regression,Automation,[데이터] 국가코드 2순위 폴백 — 기획서 §기본 구조 및 국가코드 로직 명시,REQ-007
PV > ICSR Config > Case ID > 기본 구조 > 국가코드 결정 로직,TC-CASEID-004-003,국가코드 3순위 Event Country Occurred Primary 적용 검증,"1. Org Admin 계정으로 로그인됨
2. Reporter Country Code 없고 Event Country Primary = 'DE'인 케이스 생성 준비","1. Reporter Country 없고 Event Country Primary = 'DE' 케이스 생성
2. Case ID 국가코드 확인","1. Case ID에 'DE'가 국가코드로 표시됨
2. Event Country Primary 'DE'가 3순위로 적용됨",Critical,Functional,Regression,Automation,[데이터] 국가코드 3순위 — 기획서 §기본 구조 및 국가코드 로직 명시,REQ-008
PV > ICSR Config > Case ID > 기본 구조 > 국가코드 결정 로직,TC-CASEID-004-004,국가코드 3-1순위 Event Country Occurred First 적용 검증,"1. Org Admin 계정으로 로그인됨
2. Reporter Country 없고 Event Country Primary 없고 First = 'FR'인 케이스 생성 준비","1. Event Country Primary 없고 First = 'FR' 케이스 생성
2. Case ID 국가코드 확인","1. Case ID에 'FR'가 국가코드로 표시됨
2. Event Country First 'FR'가 3-1순위 세부처리로 적용됨",Critical,Functional,Regression,Automation,[데이터] 국가코드 3-1순위 세부처리 — 기획서 §기본 구조 및 국가코드 로직 명시,REQ-009
PV > ICSR Config > Case ID > 기본 구조 > 국가코드 결정 로직,TC-CASEID-004-005,국가코드 모든 조건 미충족 시 KR 기본값 적용 검증,"1. Org Admin 계정으로 로그인됨
2. Reporter Country 없고 Event Country 정보도 없는 케이스 생성 준비","1. 국가 정보 없는 케이스 생성
2. Case ID 국가코드 확인","1. Case ID에 'KR'이 국가코드 기본값으로 표시됨
2. 모든 우선순위 조건 미충족 시 KR이 적용됨",Critical,Functional,Regression,Automation,[데이터] KR 기본값 폴백 — 기획서 §기본 구조 및 국가코드 로직 명시,REQ-010
